,0
P1_064N,White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander
P2_005N,White alone
P1_050N,White; Black or African American; American Indian and Alaska Native; Some Other Race
P1_062N,American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race
P2_029N,White; Black or African American; American Indian and Alaska Native
P2_017N,White; Some Other Race
METDIV,Geography
P1_063N,Population of five races:
P1_061N,Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race
P2_010N,Some Other Race alone
P2_034N,White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander
P2_022N,American Indian and Alaska Native; Asian
P2_058N,White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race
P2_046N,American Indian and Alaska Native; Asian; Some Other Race
P2_059N,White; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race
P1_060N,Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race
P2_023N,American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander
P2_011N,Population of two or more races:
P2_047N,American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race
P2_035N,White; American Indian and Alaska Native; Some Other Race
P2_048N,Asian; Native Hawaiian and Other Pacific Islander; Some Other Race
COUSUB,Geography
P1_071N,White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race
P2_012N,Population of two races:
P2_036N,White; Asian; Native Hawaiian and Other Pacific Islander
P2_024N,American Indian and Alaska Native; Some Other Race
CONCIT,Geography
P2_049N,Population of four races:
P2_037N,White; Asian; Some Other Race
P1_070N,Population of six races:
P2_001N,Total:
P2_025N,Asian; Native Hawaiian and Other Pacific Islander
P2_013N,White; Black or African American
CBSA,Geography
ANRC,Geography
P3_070N,Population of six races:
TRISUBREM,Geography
BLKGRP,Geography
P1_038N,Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander
P1_014N,White; Native Hawaiian and Other Pacific Islander
P1_026N,Population of three races:
P1_002N,Population of one race:
P3_071N,White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race
P1_049N,White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander
P1_025N,Native Hawaiian and Other Pacific Islander; Some Other Race
P1_037N,Black or African American; American Indian and Alaska Native; Asian
P1_001N,Total:
P1_013N,White; Asian
PLACEREM,Geography
NECTADIV,Geography
P4_009N,Native Hawaiian and Other Pacific Islander alone
P1_036N,White; Native Hawaiian and Other Pacific Islander; Some Other Race
P1_048N,White; Black or African American; American Indian and Alaska Native; Asian
P1_012N,White; American Indian and Alaska Native
P1_024N,Asian; Some Other Race
P4_008N,Asian alone
P1_047N,Population of four races:
P1_059N,Black or African American; American Indian and Alaska Native; Asian; Some Other Race
P1_023N,Asian; Native Hawaiian and Other Pacific Islander
P1_035N,White; Asian; Some Other Race
P1_011N,White; Black or African American
P2_018N,Black or African American; American Indian and Alaska Native
P2_006N,Black or African American alone
P4_007N,American Indian and Alaska Native alone
P4_019N,Black or African American; Asian
NATION,Geography
P3_051N,White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander
P3_063N,Population of five races:
P1_058N,Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander
P1_034N,White; Asian; Native Hawaiian and Other Pacific Islander
P1_046N,Asian; Native Hawaiian and Other Pacific Islander; Some Other Race
P1_010N,Population of two races:
P1_022N,American Indian and Alaska Native; Some Other Race
COUNTY,Geography
P2_007N,American Indian and Alaska Native alone
P2_019N,Black or African American; Asian
BLOCK,Geography
P4_006N,Black or African American alone
P4_018N,Black or African American; American Indian and Alaska Native
P3_040N,Black or African American; Asian; Native Hawaiian and Other Pacific Islander
P3_052N,White; Black or African American; Asian; Some Other Race
P3_064N,White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander
P1_069N,Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race
P1_045N,American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race
P1_057N,White; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race
P1_021N,American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander
P1_033N,White; American Indian and Alaska Native; Some Other Race
H1_003N,Vacant
P2_008N,Asian alone
P3_060N,Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race
P4_005N,White alone
P4_017N,White; Some Other Race
P4_029N,White; Black or African American; American Indian and Alaska Native
GEOCOMP,GEO_ID Component
P3_061N,Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race
P1_056N,White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race
P1_068N,White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race
P1_032N,White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander
P1_044N,American Indian and Alaska Native; Asian; Some Other Race
P1_020N,American Indian and Alaska Native; Asian
P2_009N,Native Hawaiian and Other Pacific Islander alone
P4_004N,Population of one race:
P4_016N,White; Native Hawaiian and Other Pacific Islander
P4_028N,Population of three races:
P3_050N,White; Black or African American; American Indian and Alaska Native; Some Other Race
P3_062N,American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race
P1_067N,White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race
P1_043N,American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander
P1_055N,White; American Indian and Alaska Native; Asian; Some Other Race
P1_031N,White; American Indian and Alaska Native; Asian
state,State FIPS
county,County FIPS
tract,Tract FIPS
block,Block FIPS
NAME,NAME
